"YEAR","SAMPLE","SERIAL","CBSERIAL","NUMPREC","HHWT","CLUSTER","STATEICP","CITY","STRATA","GQ","HHINCOME","COUPLETYPE","PERNUM","PERWT","SFTYPE","SFRELATE","CBSUBFAM","CBSFTYPE","CBSFRELATE","MOMLOC","MOMRULE","POPLOC","POPRULE","SPLOC","SPRULE","RELATE","RELATED","SEX","AGE","MARST","MARRNO","MARRINYR","YRMARR","FERTYR","RACE","RACED","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","EMPSTAT","EMPSTATD","LABFORCE","INCTOT","TRANWORK","TRANTIME","DEPARTS","ARRIVES","mom","dad","parent"
2022,202201,534076,2022001232327,3,10,2022005340761,22,0,230018,1,69700,1,2,14,0,0,0,0,0,3,11,0,0,1,11,2,201,2,56,1,1,1,1985,0,1,100,6,63,0,0,0,0,3,30,1,1700,0,0,0,0,1,0,1
2022,202201,1153893,2022000720476,4,51,2022011538931,14,0,390042,1,0,1,1,52,0,0,0,0,0,0,0,0,0,2,11,1,101,1,38,1,1,1,2011,0,1,100,0,2,0,0,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,672105,2022001139405,6,106,2022006721051,3,0,60725,1,244100,1,4,88,0,0,0,0,0,0,0,0,0,0,0,7,701,1,81,5,1,1,1960,0,1,100,6,63,0,0,0,0,3,30,1,1700,0,0,0,0,0,0,0
2022,202201,1222815,2022000189149,2,389,2022012228151,54,0,20047,1,18000,0,2,247,0,0,0,0,0,1,11,0,0,0,0,3,301,2,3,6,0,0,0,0,1,100,0,2,0,0,0,0,0,0,0,9999999,0,0,0,0,1,0,1
2022,202201,925243,2022000632045,4,106,2022009252431,13,4610,441236,1,79000,1,3,85,0,0,0,0,0,2,11,1,11,0,0,3,301,2,28,2,1,1,2020,1,6,610,10,101,61,6100,0,0,1,10,2,30000,36,90,702,834,1,1,1
2022,202201,154564,2022000618315,4,40,2022001545641,71,0,810506,1,937000,1,2,34,0,0,0,0,0,0,0,0,0,1,11,2,201,2,38,1,1,1,2009,1,8,812,11,116,55,5502,0,0,1,10,2,2e+05,80,0,0,0,0,0,0
2022,202201,922242,2022000576304,2,80,2022009222421,13,4610,426336,1,14000,1,1,80,0,0,0,0,0,0,0,0,0,2,11,1,101,2,56,1,1,1,1984,0,7,700,6,63,0,0,0,0,1,10,2,14000,31,90,902,1034,0,0,0
2022,202201,1024199,2022000926349,1,471,2022010241991,36,0,10038,1,21900,0,1,470,0,0,0,0,0,0,0,0,0,0,0,1,101,2,90,5,1,1,1953,0,1,100,2,26,0,0,0,0,3,30,1,21900,0,0,0,0,0,0,0
2022,202201,584424,2022001075897,2,43,2022005844241,51,0,230021,1,128010,1,2,51,0,0,0,0,0,0,0,0,0,1,11,2,201,1,46,1,1,1,2003,0,1,100,10,101,24,2414,0,0,1,10,2,80000,10,15,747,804,0,0,0
2022,202201,239417,2022000160896,2,77,2022002394171,62,1710,170308,1,49700,0,1,77,0,0,0,0,0,0,0,0,0,0,0,1,101,1,92,5,2,1,1990,0,8,826,2,26,0,0,0,0,3,30,1,8700,0,0,0,0,0,0,0
